id,role,type,description,size/ratio,style line ref,source
season-week,"OpenTrade Season hero and weekly ritual backdrop",background,"overhead editorial market-week strategy desk with three thesis cards and a Monday-to-weekend visual rhythm; no readable text logos trademarks or people","1600x900 (16:9)","design/style-formula.txt:1",generate
fs-draft-room,"FanStocks route background and hub-card crop",background,"cinematic after-hours trading draft room with a card table and market screens; no readable text","1280x720 (16:9)","design/style-formula.txt:1",generate
fm-boardroom,"Founder Mode route background and hub-card crop",background,"tense founder boardroom split between legacy decline and a bright strategic future; no readable text","1280x720 (16:9)","design/style-formula.txt:1",generate
ws-runner-street,"Wallstreet Surfers parallax backdrop and hub-card crop",background,"forward-facing three-lane financial district canyon with distant bull and bear silhouettes; empty foreground lanes; no readable text","1280x720 (16:9)","design/style-formula.txt:1",generate
ws-runner-avatar,"Runner static fallback tutorial figure and animation source",sprite,"original young market courier viewed from behind in a running-ready pose; full body visible","512x512 (1:1)","design/style-formula.txt:1",generate
ws-train,"Ticker-train collision obstacle",sprite,"single stylized commuter train front with blank destination panel; no readable text","512x512 (1:1)","design/style-formula.txt:1",generate
ws-barrier,"Jump and lane-change obstacle",sprite,"single striped financial-district road barrier with warning lights; no readable text","256x256 (1:1)","design/style-formula.txt:1",generate
ws-long-arrow,"LONG market-gate direction icon",ui,"single bold upward market arrow emblem without letters or numbers","256x256 (1:1)","design/style-formula.txt:1",generate
ws-short-arrow,"SHORT market-gate direction icon",ui,"single bold downward market arrow emblem without letters or numbers","256x256 (1:1)","design/style-formula.txt:1",generate
ws-coin,"Runner pickup and FanStocks value token",ui,"single embossed market coin with an abstract rising-line emblem and no currency mark","256x256 (1:1)","design/style-formula.txt:1",generate
ws-run-loop,"Animated runner rendered by Phaser with static-source fallback",spritesheet,"fifteen-frame bottom-centered run-in-place loop derived from ws-runner-avatar","1024x1024 sheet; 15 frames; 256x256 cells; 4x4 grid; 16 fps","design/style-formula.txt:1",generate
arcade-loop,"Low-volume looping score beneath all three games",music,"confident 108 BPM instrumental finance-arcade pulse with warm analog synth bass brushed percussion and restrained brass stabs; no vocals","30 seconds; seamless loop","design/style-formula.txt:1 concept",generate
ui-confirm,"Draft selection buttons and Founder choice receipt",sfx,"single crisp tactile card-lock click with a short warm synth tick; no music; no voice; no ambience","under 1 second","design/style-formula.txt:1 concept",generate
market-success,"Accepted trade correct Founder outcome and correct market gate",sfx,"single bright restrained market-success chime with two ascending notes; no music; no voice; no ambience","under 1 second","design/style-formula.txt:1 concept",generate
market-failure,"Passed trade weak Founder outcome and incorrect market gate",sfx,"single dry low market-error pulse with a short descending tail; no music; no voice; no ambience","under 1 second","design/style-formula.txt:1 concept",generate
coin-pickup,"Runner coin pickup feedback",sfx,"single compact metallic token pickup ping with no sparkle trail; no music; no voice; no ambience","under 1 second","design/style-formula.txt:1 concept",generate
collision,"Runner train or barrier collision feedback",sfx,"single punchy padded impact with a brief rail rattle; no music; no voice; no ambience","under 2 seconds","design/style-formula.txt:1 concept",generate
